Video ID,Views,Likes,Comments,Duration
lUgNZuoHqto,151379,10366,117,PT4H15M55S
EyxZvnZSMgE,107279,7965,71,PT1H48M30S
xFV0fG5rETg,289614,18513,198,PT5H10M22S
labbNaAac24,367788,24398,328,PT5H44M35S
ud298cGLZQ0,141091,10245,196,PT4H23M12S
8qrLeIZhcWs,120243,8862,362,PT3H12M59S
P4GelUQ-06M,125588,10619,185,PT3H6M19S
e4V8hzpsFoY,148029,10479,245,PT3H58M30S
-r5k15dnduw,103708,8418,113,PT3H21M5S
EMcaS0mbNqw,113061,9596,121,PT3H1M48S
IHaPPMTPVoY,116337,9841,113,PT4H57M15S
Xc7JzpiVvbY,125792,8798,102,PT3H37M9S
VslpnCn1wcA,146723,10948,102,PT8H39M12S
9lXnTeps9I8,448285,34454,1339,PT11M26S
YPPstTXx6o0,96549,7494,100,PT6H36M29S
c5EXx75pHtc,112095,11914,149,PT2H51M50S
WpYTJLV8GTo,247552,21838,536,PT8M44S
-6MwdT1p1Kw,111863,8797,154,PT7H54M11S
I32-7W0ldEg,490458,36362,1103,PT13M17S
hhcFMJxbth4,58653,5606,56,PT2H55M18S
ybai1gxJAE0,308152,29190,1003,PT12M47S
PkmSkgjbUlA,83232,7878,127,PT3H45M11S
wO-2TCh8zNE,106435,10767,218,PT3H14M46S
u3zjFylddBE,138683,10759,130,PT5H10M30S
Smdvf2JwywQ,139628,18824,745,PT1H5M39S
CzXH7HEZXXw,77335,6660,76,PT1H41M56S
-ZcI1KIwzIA,169449,22716,1040,PT26M34S
UDpx6dkd23Q,203968,15250,534,PT8H13M43S
VekfCgkZZXM,90183,7837,90,PT2H21M57S
jkCgz6G78I0,117390,12276,383,PT8M38S
pphhUw-gqks,391434,35753,652,PT8M22S
ApTsw6gZmGA,160187,12414,120,PT4H45M19S
3hMRgkcXuBA,148195,12331,161,PT4H11M52S
QIpnFFB7wu8,193728,24420,1265,PT1H18M39S
tg4848nvZJ0,179313,20333,662,PT12M17S
4_NNxsOxAXg,93775,10282,269,PT1H58M12S
nm__JHUoJMs,132349,12557,151,PT2H54M53S
C9VNuBrVRl8,133512,12740,731,PT10M24S
U7X9fbc3tNU,121511,10187,136,PT6H3M57S
pcHy_Zz2h7A,110691,12107,329,PT1H44M45S
r12ukbGYLd0,114911,9650,159,PT5H31M58S
3nhlUzIiIEM,117229,10361,355,PT2H39M21S
4nfJYJv3LDQ,116165,10070,149,PT2H49M23S
U3EMkh_wya8,124663,10187,83,PT5H27M59S
60RGwxngKwM,105207,7409,117,PT6H42M19S
ctMfyphSbWA,123634,9584,83,PT3H28M54S
lT-oSwmq2Uo,83631,6225,56,PT4H51M4S
I8SBExww7cc,33377,3538,21,PT43M50S
Cf345dG26Zc,132402,10374,87,PT2H51M33S
hH7O5xRSCfg,123440,10301,249,PT11H15M3S
oRkExh4Q31U,183548,20930,810,PT12M18S
lwJT7tZzcYo,284581,27309,1091,PT18M55S
6Ak3z5jOn5g,232445,26349,949,PT25M39S
Xh2UWBVdKA0,394048,36457,885,PT16M55S
3K8m2PhgCNA,219237,20556,623,PT2H19M40S
BnomdzVRsqs,157364,11103,108,PT4H4M5S
9T3f3bnmnLo,169784,14264,141,PT3H28M33S
-CLh2ZlLnIY,196459,16706,111,PT4H16M57S
O36OH-qy-zw,227560,18172,165,PT3H42M59S
RP8LwL4Ka-E,186253,14432,258,PT3H54M30S
6ae2onKfEVc,221716,17840,144,PT4H6M44S
vnU3awbVCqc,151258,11771,117,PT5H33M1S
dqzvBmAXwjo,217056,17407,343,PT3H38M33S
jXYfD-AgDF4,107664,10617,137,PT3H27S
9ey9bv0F5F4,181162,14140,231,PT3H47M57S
-sGsUTaUet8,196232,13618,215,PT3H42M7S
0idiv5_YzUs,225700,15163,152,PT6H54M55S
YzaGtP7r890,205375,15929,238,PT4H27M21S
CTWJ_sUOXjk,236080,15990,254,PT3H51M56S
0vJaOK-MFa0,109585,7857,126,PT5H40M10S
B-ApPZdoreI,126002,9427,207,PT3H3M8S
ElUwcBq3xaE,114275,9198,172,PT2H50M1S
Q1rtHAL9ffE,119318,10293,228,PT2H53M44S
yNFum1NCBdQ,81952,6309,246,PT3H12M45S
gdfTQT_6boM,182060,11903,198,PT5H58M18S
Z9_Pa_lxS5E,47521,4898,452,PT2H39M12S
56FuU5KV1UM,95214,7320,231,PT3H7M24S
_-vCb-k-Z98,113800,7725,154,PT3H31M37S
om0Rhy0-Ho8,85769,6931,137,PT5H7M11S
zCeVCbCUD3I,90086,7697,114,PT3H7M37S
0gWBYMYWbz4,83208,7840,88,PT2H36M25S
d3yVOI7RUmg,112306,9314,91,PT2H21M54S
SFCiAR_m9as,51696,5101,81,PT1H4M37S
3gg3x8BsGbk,112643,8153,109,PT3H57M
iaZBjKsg1UQ,144137,10501,125,PT4H24M30S
ddTqFT1UwVE,156273,12013,170,PT5H6M11S
sPlRJJ-85fk,116908,9577,78,PT3H4M
Uaa7bVfA0xs,97624,8489,65,PT2H14M52S
17WYdmVoT3w,156411,11712,90,PT4H9M55S
LpwmoaWSzKU,120612,10898,69,PT2H50M7S
ZMWhh6iJE7A,104537,12469,371,PT11M36S
QoHxhZINPyY,183685,15559,127,PT4H12M40S
UguffknSBDU,38976,4814,22,PT29M1S
muoIkMDaS3U,126599,10483,160,PT3H22M54S
IR-c9KUitKQ,154758,12742,156,PT3H31M56S
9rsEPh2yLxk,281096,23666,678,PT11M26S
x6uv7XvUEwo,195262,19086,520,PT10M7S
XmgyfAcDQFo,368783,39056,826,PT13M7S
